user_id,group,satisfaction_score
user_000167,control,76.17
user_000168,control,64.69
user_000169,control,69.87
user_000170,control,92.7
user_000171,control,84.1
user_000172,control,81.4
user_000173,control,78.56
user_000174,control,68.39
user_000175,control,72.99
user_000176,control,74.22
user_000177,control,80.5
user_000178,control,90.09
user_000179,control,86.18
user_000180,control,60.81
user_000181,control,77.24
user_000182,control,82.37
user_000183,control,81.19
user_000184,control,68.71
user_000185,control,104.14
user_000186,control,62.23
user_000187,control,64.17
user_000188,control,77.34
user_000189,control,96.17
user_000190,control,66.64
user_000191,control,72.34
user_000192,control,85.77
user_000193,control,74.82
user_000194,control,71.65
user_000195,control,80.66
user_000196,control,77.73
user_000197,control,85.3
user_000198,control,87.91
user_000199,control,78.07
user_000200,control,77.92
user_000201,control,77.14
user_000202,control,79.89
user_000203,control,75.55
user_000204,control,74.99
user_000205,control,86.97
user_000206,control,90.16
user_000207,control,59.92
user_000208,control,75.1
user_000209,control,68.11
user_000210,control,71.89
user_000211,control,79.03
user_000212,control,81.69
user_000213,control,73.88
user_000214,control,55.87
user_000215,control,65.35
user_000216,control,83.96
user_000217,control,47.6
user_000218,control,86.87
user_000219,control,80.21
user_000220,control,88.16
user_000221,control,73.01
user_000222,control,54.39
user_000223,control,79.3
user_000224,control,87.75
user_000225,control,84.25
user_000226,control,68.37
user_000227,control,75.87
user_000228,control,69.67
user_000229,control,66.81
user_000230,control,84.55
user_000231,control,63.02
user_000232,control,66.06
user_000233,control,63.96
user_000234,control,60.1
user_000235,control,76.46
user_000236,control,86.62
user_000237,control,73.15
user_000238,control,59.94
user_000239,control,83.4
user_000240,control,91.86
user_000241,control,68.54
user_000242,control,70.21
user_000243,control,80.16
user_000244,control,91.22
user_000245,control,69.8
user_000246,control,61.68
user_000247,control,81.31
user_000248,control,82.99
user_000249,control,75.06
user_000250,control,69.42
user_000251,control,84.94
user_000252,control,80.28
user_000253,control,67.32
user_000254,control,75.49
user_000255,control,61.48
user_000256,control,81.86
user_000257,control,72.38
user_000258,control,70.64
user_000259,control,74.67
user_000260,control,75.4
user_000261,control,83.95
user_000262,control,80.91
user_000263,control,73.44
user_000264,control,82.64
user_000265,control,79.01
user_000266,control,70.73
user_000267,control,73.75
user_000268,control,73.52
user_000269,control,80.05
user_000270,control,71.33
user_000271,control,71.1
user_000272,control,94.69
user_000273,control,84.4
user_000274,control,67.39
user_000275,control,80.71
user_000276,control,76.18
user_000277,control,78.92
user_000278,control,76.37
user_000279,control,86.9
user_000280,control,78.46
user_000281,control,74.38
user_000282,control,85.42
user_000283,control,77.33
user_000284,control,76.21
user_000285,control,78.14
user_000286,control,74.06
user_000287,control,75.09
user_000288,control,69.13
user_000289,control,67.49
user_000290,control,65.01
user_000291,control,61.08
user_000292,control,66.2
user_000293,control,73.26
user_000294,control,76.03
user_000295,control,72.29
user_000296,control,51.44
user_000297,control,90.75
user_000298,control,85.86
user_000299,control,79.46
user_000300,control,94.07
user_000301,control,65.23
user_000302,control,93.88
user_000303,control,65.35
user_000304,control,77.39
user_000305,control,62.26
user_000306,control,75.15
user_000307,control,78.86
user_000308,control,73.45
user_000309,control,82.14
user_000310,control,75.99
user_000311,control,69.78
user_000312,control,69.33
user_000313,control,83.11
user_000314,control,68.46
user_000315,control,84.15
user_000316,control,87.23
user_000317,control,58.31
user_000318,control,86.33
user_000319,control,95.6
user_000320,control,77.52
user_000321,control,80.99
user_000322,control,85.37
user_000323,control,72.25
user_000324,control,76.82
user_000325,control,61.86
user_000326,control,76.39
user_000327,control,79.98
user_000328,control,80.16
user_000329,control,85.65
user_000330,control,67.25
user_000331,control,69.67
user_000332,control,93.96
user_000333,control,73.5
user_000334,control,77.0
user_000335,control,74.33
user_000336,control,66.78
user_000337,control,91.24
user_000338,control,69.72
user_000339,control,63.73
user_000340,control,70.49
user_000341,control,54.98
user_000342,control,68.49
user_000343,control,65.32
user_000344,control,81.17
user_000345,control,68.27
user_000346,control,83.88
user_000347,control,88.98
user_000348,control,82.81
user_000349,control,72.85
user_000350,control,76.41
user_000351,control,59.75
user_000352,control,73.66
user_000353,control,66.4
user_000354,control,81.94
user_000355,control,100.73
user_000356,control,80.0
user_000357,control,55.09
user_000358,control,71.39
user_000359,control,76.22
user_000360,control,75.87
user_000361,control,67.69
user_000362,control,77.45
user_000363,control,62.57
user_000364,control,65.55
user_000365,control,81.46
user_000366,control,64.84
user_000367,control,80.38
user_000368,control,61.31
user_000369,control,92.65
user_000370,control,67.26
user_000371,control,72.76
user_000372,control,78.31
user_000373,control,69.35
user_000374,control,76.43
user_000375,control,80.75
user_000376,control,84.61
user_000377,control,82.91
user_000378,control,73.28
user_000379,control,73.53
user_000380,control,98.49
user_000381,control,84.5
user_000382,control,65.78
user_000383,control,76.0
user_000384,control,71.65
user_000385,control,73.65
user_000386,control,62.71
user_000387,control,70.88
user_000388,control,93.12
user_000389,control,80.79
user_000390,control,50.09
user_000391,control,87.17
user_000392,control,85.9
user_000393,control,71.41
user_000394,control,82.17
user_000395,control,66.41
user_000396,control,70.3
user_000397,control,89.99
user_000398,control,72.28
user_000399,control,56.3
user_000400,control,74.37
user_000401,control,74.21
user_000402,control,86.98
user_000403,control,75.14
user_000404,control,70.78
user_000405,control,85.45
user_000406,control,76.21
user_000407,control,67.5
user_000408,control,86.55
user_000409,control,76.94
user_000410,control,75.03
user_000411,control,76.78
user_000412,control,64.29
user_000413,control,69.72
user_000414,control,75.04
user_000415,control,73.05
user_000416,control,87.72
user_000417,control,77.17
user_000418,control,83.55
user_000419,control,75.09
user_000420,control,85.56
user_000421,control,78.98
user_000422,control,75.13
user_000423,control,74.87
user_000424,control,65.46
user_000425,control,80.07
user_000426,control,74.6
user_000427,control,69.98
user_000428,control,86.06
user_000429,control,62.5
user_000430,control,70.78
user_000431,control,85.28
user_000432,control,78.16
user_000433,control,74.52
user_000434,control,77.51
user_000435,control,76.79
user_000436,control,59.83
user_000437,control,71.51
user_000438,control,91.17
user_000439,control,68.41
user_000440,control,71.82
user_000441,control,69.58
user_000442,control,74.13
user_000443,control,69.17
user_000444,control,79.87
user_000445,control,76.97
user_000446,control,82.74
user_000447,control,64.49
user_000448,control,71.6
user_000449,control,72.74
user_000450,control,79.56
user_000451,control,67.07
user_000452,control,84.16
user_000453,control,86.86
user_000454,control,65.11
user_000455,control,70.09
user_000456,control,69.68
user_000457,control,101.32
user_000458,control,70.7
user_000459,control,91.78
user_000460,control,62.33
user_000461,control,65.1
user_000462,control,68.13
user_000463,control,66.54
user_000464,control,72.32
user_000465,control,67.91
user_000466,control,66.81
user_000467,control,86.58
user_000468,control,87.24
user_000469,control,84.49
user_000470,control,80.24
user_000471,control,75.93
user_000472,control,70.03
user_000473,control,65.47
user_000474,control,78.63
user_000475,control,63.26
user_000476,control,65.06
user_000477,control,86.53
user_000478,control,94.01
user_000479,control,78.93
user_000480,control,86.06
user_000481,control,72.54
user_000482,control,61.62
user_000483,control,81.12
user_000484,control,80.69
user_000485,control,75.72
user_000486,control,72.58
user_000487,control,84.62
user_000488,control,65.14
user_000489,control,67.26
user_000490,control,64.92
user_000491,control,75.85
user_000492,control,64.12
user_000493,control,68.16
user_000494,control,67.94
user_000495,control,72.39
user_000496,control,60.13
user_000497,control,75.87
user_000498,control,87.47
user_000499,control,76.35
user_000500,control,90.41
user_000501,control,88.34
user_000502,control,82.78
user_000503,control,75.75
user_000504,control,75.23
user_000505,control,82.64
user_000506,control,71.08
user_000507,control,56.17
user_000508,control,79.92
user_000509,control,63.69
user_000510,control,65.38
user_000511,control,75.0
user_000512,control,74.05
user_000513,control,60.88
user_000514,control,76.65
user_000515,control,84.66
user_000516,control,63.72
user_000517,control,87.72
user_000518,control,59.4
user_000519,control,96.17
user_000520,control,70.89
user_000521,control,76.46
user_000522,control,56.08
user_000523,control,74.38
user_000524,control,77.28
user_000525,control,74.14
user_000526,control,69.37
user_000527,control,65.53
user_000528,control,86.31
user_000529,control,75.31
user_000530,control,90.41
user_000531,control,69.74
user_000532,control,70.65
user_000533,control,83.16
user_000534,control,58.77
user_000535,control,62.87
user_000536,control,85.97
user_000537,control,63.28
user_000538,control,56.81
user_000539,control,93.69
user_000540,control,61.06
user_000541,control,76.84
user_000542,control,75.69
user_000543,control,46.89
user_000544,control,72.33
user_000545,control,79.48
user_000546,control,78.54
user_000547,control,84.04
user_000548,control,71.13
user_000549,control,82.13
user_000550,control,68.11
user_000551,control,60.9
user_000552,control,62.02
user_000553,control,60.38
user_000554,control,85.1
user_000555,control,59.85
user_000556,control,77.74
user_000557,control,72.34
user_000558,control,73.97
user_000559,control,88.64
user_000560,control,70.62
user_000561,control,81.12
user_000562,control,75.38
user_000563,control,73.48
user_000564,control,98.0
user_000565,control,60.59
user_000566,control,87.89
user_000567,control,81.56
user_000568,control,70.2
user_000569,control,91.29
user_000570,control,56.52
user_000571,control,69.78
user_000572,control,62.92
user_000573,control,79.12
user_000574,control,63.87
user_000575,control,79.33
user_000576,control,73.14
user_000577,control,70.21
user_000578,control,78.89
user_000579,control,72.31
user_000580,control,64.11
user_000581,control,103.01
user_000582,control,70.13
user_000583,control,52.82
user_000584,control,66.58
user_000585,control,62.33
user_000586,control,83.26
user_000587,control,78.22
user_000588,control,78.99
user_000589,control,71.3
user_000590,control,72.21
user_000591,control,71.29
user_000592,control,74.19
user_000593,control,83.35
user_000594,control,78.36
user_000595,control,80.0
user_000596,control,80.0
user_000597,control,83.84
user_000598,control,77.88
user_000599,control,78.59
user_000600,control,86.89
user_000601,control,68.35
user_000602,control,66.44
user_000603,control,63.14
user_000604,control,76.83
user_000605,control,56.46
user_000606,control,79.62
user_000607,control,73.91
user_000608,control,86.35
user_000609,control,68.28
user_000610,control,72.97
user_000611,control,86.22
user_000612,control,88.83
user_000613,control,68.2
user_000614,control,76.82
user_000615,control,77.94
user_000616,control,78.74
user_000617,control,72.37
user_000618,control,87.81
user_000619,control,56.1
user_000620,control,70.79
user_000621,control,79.48
user_000622,control,79.57
user_000623,control,88.53
user_000624,control,86.98
user_000625,control,72.14
user_000626,control,88.0
user_000627,control,67.86
user_000628,control,84.31
user_000629,control,93.11
user_000630,control,87.15
user_000631,control,76.06
user_000632,control,71.68
user_000633,control,59.71
user_000634,control,78.11
user_000635,control,63.85
user_000636,control,67.07
user_000637,control,63.09
user_000638,control,70.4
user_000639,control,74.72
user_000640,control,77.74
user_000641,control,68.99
user_000642,control,85.69
user_000643,control,72.92
user_000644,control,67.12
user_000645,control,77.26
user_000646,control,94.64
user_000647,control,78.35
user_000648,control,71.37
user_000649,control,59.73
user_000650,control,72.81
user_000651,control,77.35
user_000652,control,71.12
user_000653,control,58.35
user_000654,control,66.49
user_000655,control,89.55
user_000656,control,89.34
user_000657,control,66.13
user_000658,control,81.73
user_000659,control,63.21
user_000660,control,89.04
user_000661,control,77.45
user_000662,control,84.5
user_000663,control,57.85
user_000664,control,81.78
user_000665,control,74.92
user_000666,control,83.52
user_000667,control,84.15
user_000668,control,75.66
user_000669,control,68.99
user_000670,control,82.8
user_000671,control,74.4
user_000672,control,66.27
user_000673,control,65.8
user_000674,control,60.23
user_000675,control,69.9
user_000676,control,86.03
user_000677,control,76.78
user_000678,control,69.7
user_000679,control,83.05
user_000680,control,66.68
user_000681,control,75.95
user_000682,control,73.2
user_000683,control,82.79
user_000684,control,59.23
user_000685,control,66.5
user_000686,control,58.62
user_000687,control,72.4
user_000688,control,87.11
user_000689,control,69.95
user_000690,control,69.89
user_000691,control,83.72
user_000692,control,85.69
user_000693,control,74.11
user_000694,control,81.85
user_000695,control,64.23
user_000696,control,88.78
user_000697,control,96.49
user_000698,control,80.21
user_000699,control,54.16
user_000700,control,69.42
user_000701,control,81.13
user_000702,control,70.79
user_000703,control,87.72
user_000704,control,80.88
user_000705,control,67.94
user_000706,control,75.32
user_000707,control,66.06
user_000708,control,73.17
user_000709,control,69.45
user_000710,control,86.75
user_000711,control,96.16
user_000712,control,60.69
user_000713,control,55.77
user_000714,control,72.55
user_000715,control,59.82
user_000716,control,75.46
user_000717,control,82.49
user_000718,control,89.94
user_000719,control,77.01
user_000720,control,73.07
user_000721,control,55.22
user_000722,control,75.26
user_000723,control,75.71
user_000724,control,81.39
user_000725,control,67.92
user_000726,control,70.65
user_000727,control,60.22
user_000728,control,52.09
user_000729,control,63.92
user_000730,control,59.3
user_000731,control,78.37
user_000732,control,69.82
user_000733,control,69.62
user_000734,control,65.16
user_000735,control,42.67
user_000736,control,90.08
user_000737,control,65.0
user_000738,control,70.88
user_000739,control,60.45
user_000740,control,84.72
user_000741,control,76.43
user_000742,control,66.74
user_000743,control,71.08
user_000744,control,91.78
user_000745,control,74.27
user_000746,control,73.18
user_000747,control,65.59
user_000748,control,56.05
user_000749,control,73.4
user_000750,control,78.25
user_000751,control,86.0
user_000752,control,52.52
user_000753,control,63.75
user_000754,control,69.19
user_000755,control,74.97
user_000756,control,73.55
user_000757,control,73.78
user_000758,control,79.08
user_000759,control,65.97
user_000760,control,84.34
user_000761,control,79.33
user_000762,control,71.8
user_000763,control,91.01
user_000764,control,90.56
user_000765,control,84.33
user_000766,control,44.81
user_000767,control,90.79
user_000768,control,82.95
user_000769,control,95.06
user_000770,control,87.37
user_000771,control,90.78
user_000772,control,83.79
user_000773,control,88.49
user_000774,control,94.94
user_000775,control,77.17
user_000776,control,59.28
user_000777,control,71.93
user_000778,control,78.9
user_000779,control,75.75
user_000780,control,62.53
user_000781,control,58.69
user_000782,control,67.59
user_000783,control,83.08
user_000784,control,90.8
user_000785,control,84.17
user_000786,control,85.57
user_000787,control,74.19
user_000788,control,57.58
user_000789,control,70.45
user_000790,control,72.41
user_000791,control,70.03
user_000792,control,75.55
user_000793,control,79.41
user_000794,control,83.53
user_000795,control,72.22
user_000796,control,55.96
user_000797,control,70.17
user_000798,control,75.44
user_000799,control,87.23
user_000800,control,69.32
user_000801,control,80.13
user_000802,control,77.9
user_000803,control,75.44
user_000804,control,84.31
user_000805,control,68.39
user_000806,control,69.25
user_000807,control,74.88
user_000808,control,68.6
user_000809,control,80.08
user_000810,control,67.87
user_000811,control,77.26
user_000812,control,74.0
user_000813,control,77.15
user_000814,control,70.4
user_000815,control,71.61
user_000816,control,75.96
user_000817,control,77.02
user_000818,control,74.96
user_000819,control,92.05
user_000820,control,65.09
user_000821,control,74.36
user_000822,control,59.26
user_000823,control,78.72
user_000824,control,63.85
user_000825,control,72.22
user_000826,control,71.28
user_000827,control,77.81
user_000828,control,69.47
user_000829,control,69.05
user_000830,control,89.36
user_000831,control,77.85
user_000832,control,69.39
user_000833,control,72.49
user_000834,control,91.45
user_000835,control,72.65
user_000836,control,68.11
user_000837,control,68.15
user_000838,control,69.51
user_000839,control,69.06
user_000840,control,62.2
user_000841,control,63.76
user_000842,control,66.71
user_000843,control,80.92
user_000844,control,71.19
user_000845,control,72.93
user_000846,control,87.7
user_000847,control,87.95
user_000848,control,72.18
user_000849,control,68.69
user_000850,control,66.36
user_000851,control,81.93
user_000852,control,72.95
user_000853,control,71.14
user_000854,control,66.86
user_000855,control,67.3
user_000856,control,78.2
user_000857,control,61.85
user_000858,control,84.95
user_000859,control,69.66
user_000860,control,73.5
user_000861,control,61.63
user_000862,control,74.88
user_000863,control,71.72
user_000864,control,74.5
user_000865,control,89.72
user_000866,control,76.78
user_000867,control,67.05
user_000868,control,67.89
user_000869,control,80.95
user_000870,control,87.99
user_000871,control,77.82
user_000872,control,81.89
user_000873,control,81.1
user_000874,control,89.19
user_000875,control,55.5
user_000876,control,81.67
user_000877,control,84.84
user_000878,control,61.61
user_000879,control,66.14
user_000880,control,66.49
user_000881,control,67.71
user_000882,control,70.18
user_000883,control,77.43
user_000884,control,83.66
user_000885,control,85.81
user_000886,control,66.62
user_000887,control,66.55
user_000888,control,88.16
user_000889,control,81.47
user_000890,control,75.83
user_000891,control,79.73
user_000892,control,74.7
user_000893,control,80.25
user_000894,control,71.64
user_000895,control,77.69
user_000896,control,59.89
user_000897,control,68.12
user_000898,control,68.23
user_000899,control,71.26
user_000900,control,65.73
user_000901,control,69.66
user_000902,control,59.86
user_000903,control,80.49
user_000904,control,74.17
user_000905,control,57.95
user_000906,control,66.65
user_000907,control,78.37
user_000908,control,69.57
user_000909,control,68.03
user_000910,control,74.25
user_000911,control,78.44
user_000912,control,60.64
user_000913,control,80.5
user_000914,control,67.0
user_000915,control,74.82
user_000916,control,74.65
user_000917,control,69.73
user_000918,control,64.76
user_000919,control,72.14
user_000920,control,91.25
user_000921,control,61.38
user_000922,control,91.92
user_000923,control,72.4
user_000924,control,75.35
user_000925,control,64.13
user_000926,control,67.29
user_000927,control,69.97
user_000928,control,64.54
user_000929,control,72.91
user_000930,control,70.93
user_000931,control,93.51
user_000932,control,63.34
user_000933,control,76.03
user_000934,control,77.48
user_000935,control,64.3
user_000936,control,81.87
user_000937,control,71.02
user_000938,control,50.08
user_000939,control,81.6
user_000940,control,63.83
user_000941,control,64.52
user_000942,control,81.88
user_000943,control,71.53
user_000944,control,84.18
user_000945,control,87.1
user_000946,control,68.55
user_000947,control,82.93
user_000948,control,67.45
user_000949,control,97.33
user_000950,control,68.07
user_000951,control,85.26
user_000952,control,83.44
user_000953,control,78.16
user_000954,control,68.29
user_000955,control,73.49
user_000956,control,53.46
user_000957,control,77.24
user_000958,control,78.5
user_000959,control,76.33
user_000960,control,45.27
user_000961,control,62.34
user_000962,control,67.52
user_000963,control,77.92
user_000964,control,77.89
user_000965,control,73.3
user_000966,control,81.35
user_000967,control,64.74
user_000968,control,81.1
user_000969,control,79.75
user_000970,control,78.78
user_000971,control,73.18
user_000972,control,93.31
user_000973,control,79.93
user_000974,control,65.32
user_000975,control,77.48
user_000976,control,82.52
user_000977,control,69.12
user_000978,control,85.89
user_000979,control,78.82
user_000980,control,51.58
user_000981,control,78.0
user_000982,control,70.94
user_000983,control,80.37
user_000984,control,84.44
user_000985,control,76.95
user_000986,control,91.65
user_000987,control,73.21
user_000988,control,81.25
user_000989,control,83.05
user_000990,control,74.03
user_000991,control,82.79
user_000992,control,69.05
user_000993,control,70.77
user_000994,control,61.88
user_000995,control,77.41
user_000996,control,78.25
user_000997,control,86.79
user_000998,control,82.91
user_000999,control,72.15
user_001000,control,63.22
user_001001,control,79.33
user_001002,control,86.11
user_001003,control,82.55
user_001004,control,85.84
user_001005,control,72.88
user_001006,control,70.33
user_001007,control,67.63
user_001008,control,74.44
user_001009,control,74.21
user_001010,control,77.07
user_001011,control,73.71
user_001012,control,73.66
user_001013,control,67.23
user_001014,control,84.42
user_001015,control,75.77
user_001016,control,73.26
user_001017,control,67.53
user_001018,control,61.68
user_001019,control,88.08
user_001020,control,80.55
user_001021,control,58.76
user_001022,control,82.63
user_001023,control,84.22
user_001024,control,76.24
user_001025,control,90.98
user_001026,control,77.17
user_001027,control,60.83
user_001028,control,78.65
user_001029,control,77.45
user_001030,control,68.97
user_001031,control,80.74
user_001032,control,58.32
user_001033,control,84.91
user_001034,control,66.22
user_001035,control,65.15
user_001036,control,73.86
user_001037,control,79.33
user_001038,control,76.64
user_001039,control,67.57
user_001040,control,69.94
user_001041,control,63.67
user_001042,control,72.75
user_001043,control,85.75
user_001044,control,74.96
user_001045,control,83.59
user_001046,control,89.55
user_001047,control,69.12
user_001048,control,73.13
user_001049,control,96.71
user_001050,control,89.44
user_001051,control,58.28
user_001052,control,78.87
user_001053,control,75.01
user_001054,control,83.26
user_001055,control,67.55
user_001056,control,66.6
user_001057,control,68.24
user_001058,control,69.28
user_001059,control,83.15
user_001060,control,63.19
user_001061,control,68.77
user_001062,control,57.11
user_001063,control,85.07
user_001064,control,87.71
user_001065,control,71.73
user_001066,control,72.02
user_001067,control,79.53
user_001068,control,89.74
user_001069,control,79.09
user_001070,control,68.02
user_001071,control,58.81
user_001072,control,63.85
user_001073,control,75.73
user_001074,control,68.45
user_001075,control,76.95
user_001076,control,69.47
user_001077,control,64.42
user_001078,control,63.23
user_001079,control,90.62
user_001080,control,83.89
user_001081,control,92.31
user_001082,control,80.4
user_001083,control,70.7
user_001084,control,88.23
user_001085,control,74.67
user_001086,control,77.21
user_001087,control,74.57
user_001088,control,45.53
user_001089,control,91.05
user_001090,control,79.91
user_001091,control,78.3
user_001092,control,74.38
user_001093,control,76.63
user_001094,control,69.03
user_001095,control,81.17
user_001096,control,61.93
user_001097,control,76.86
user_001098,control,80.62
user_001099,control,73.01
user_001100,control,78.71
user_001101,control,65.09
user_001102,control,65.34
user_001103,control,77.37
user_001104,control,81.79
user_001105,control,56.25
user_001106,control,80.22
user_001107,control,69.57
user_001108,control,73.07
user_001109,control,61.6
user_001110,control,66.48
user_001111,control,84.66
user_001112,control,75.33
user_001113,control,71.17
user_001114,control,73.84
user_001115,control,79.89
user_001116,control,79.4
user_001117,control,74.25
user_001118,control,85.93
user_001119,control,84.7
user_001120,control,79.13
user_001121,control,75.55
user_001122,control,81.57
user_001123,control,78.14
user_001124,control,85.61
user_001125,control,84.0
user_001126,control,64.82
user_001127,control,64.14
user_001128,control,67.99
user_001129,control,84.76
user_001130,control,59.24
user_001131,control,78.95
user_001132,control,78.63
user_001133,control,86.63
user_001134,control,76.8
user_001135,control,61.57
user_001136,control,65.41
user_001137,control,63.18
user_001138,control,69.62
user_001139,control,73.17
user_001140,control,63.35
user_001141,control,89.71
user_001142,control,61.75
user_001143,control,88.46
user_001144,control,86.85
user_001145,control,83.98
user_001146,control,68.06
user_001147,control,78.42
user_001148,control,62.23
user_001149,control,84.11
user_001150,control,74.26
user_001151,control,70.91
user_001152,control,62.76
user_001153,control,50.22
user_001154,control,64.61
user_001155,control,86.13
user_001156,control,70.97
user_001157,control,73.31
user_001158,control,81.56
user_001159,control,93.06
user_001160,control,88.25
user_001161,control,65.28
user_001162,control,55.57
user_001163,control,98.6
user_001164,control,97.69
user_001165,control,76.88
user_001166,control,62.3
user_001167,control,84.63
user_001168,control,73.92
user_001169,control,73.87
user_001170,control,83.94
user_001171,control,78.34
user_001172,control,63.14
user_001173,control,71.75
user_001174,control,81.61
user_001175,control,80.1
user_001176,control,77.62
user_001177,control,84.33
user_001178,control,71.38
user_001179,control,76.79
user_001180,control,41.24
user_001181,control,70.5
user_001182,control,82.64
user_001183,control,71.1
user_001184,control,70.34
user_001185,control,64.59
user_001186,control,85.03
user_001187,control,80.48
user_001188,control,83.25
user_001189,control,57.74
user_001190,control,73.4
user_001191,control,72.2
user_001192,control,72.19
user_001193,control,68.84
user_001194,control,71.54
user_001195,control,83.5
user_001196,control,55.87
user_001197,control,92.77
user_001198,control,79.84
user_001199,control,74.58
user_001200,control,84.07
user_001201,control,60.48
user_001202,control,68.35
user_001203,control,73.79
user_001204,control,88.66
user_001205,control,74.54
user_001206,control,79.5
user_001207,control,69.1
user_001208,control,79.87
user_001209,control,91.77
user_001210,control,84.96
user_001211,control,74.19
user_001212,control,81.75
user_001213,control,80.78
user_001214,control,80.07
user_001215,control,86.12
user_001216,control,86.04
user_001217,control,73.73
user_001218,control,81.42
user_001219,control,71.17
user_001220,control,65.77
user_001221,control,72.31
user_001222,control,74.24
user_001223,control,58.38
user_001224,control,83.6
user_001225,control,47.33
user_001226,control,102.15
user_001227,control,90.02
user_001228,control,72.39
user_001229,control,75.09
user_001230,control,78.03
user_001231,control,69.11
user_001232,control,76.93
user_001233,control,73.56
user_001234,control,74.06
user_001235,control,76.81
user_001236,control,61.86
user_001237,control,75.4
user_001238,control,76.63
user_001239,control,76.29
user_001240,control,72.84
user_001241,control,86.38
user_001242,control,71.46
user_001243,control,77.27
user_001244,control,87.97
user_001245,control,74.21
user_001246,control,77.14
user_001247,control,74.04
user_001248,control,87.37
user_001249,control,72.42
user_001250,control,87.83
user_001251,control,73.96
user_001252,control,66.41
user_001253,control,81.79
user_001254,control,71.95
user_001255,control,81.21
user_001256,control,47.71
user_001257,control,75.05
user_001258,control,70.4
user_001259,control,64.37
user_001260,control,69.47
user_001261,control,69.26
user_001262,control,74.52
user_001263,control,61.33
user_001264,control,78.16
user_001265,control,88.66
user_001266,control,77.81
user_001267,control,83.09
user_001268,control,85.95
user_001269,control,87.36
