user_id,group,watch_duration
user_000236,control,2.41
user_000237,control,14.14
user_000238,control,7.17
user_000239,control,24.09
user_000240,control,6.46
user_000241,control,11.11
user_000242,control,18.25
user_000243,control,24.35
user_000244,control,4.66
user_000245,control,9.32
user_000246,control,8.33
user_000247,control,7.22
user_000248,control,50.02
user_000249,control,16.84
user_000250,control,4.44
user_000251,control,25.39
user_000252,control,66.53
user_000253,control,27.83
user_000254,control,3.61
user_000255,control,8.27
user_000256,control,33.57
user_000257,control,6.92
user_000258,control,17.38
user_000259,control,22.64
user_000260,control,5.8
user_000261,control,11.62
user_000262,control,0.91
user_000263,control,5.37
user_000264,control,9.95
user_000265,control,4.49
user_000266,control,44.97
user_000267,control,3.88
user_000268,control,8.57
user_000269,control,13.53
user_000270,control,38.59
user_000271,control,3.86
user_000272,control,30.89
user_000273,control,12.28
user_000274,control,5.56
user_000275,control,17.63
user_000276,control,14.29
user_000277,control,7.54
user_000278,control,12.88
user_000279,control,8.95
user_000280,control,13.34
user_000281,control,20.69
user_000282,control,43.33
user_000283,control,4.53
user_000284,control,67.12
user_000285,control,2.56
user_000286,control,10.79
user_000287,control,19.5
user_000288,control,15.25
user_000289,control,7.4
user_000290,control,10.31
user_000291,control,8.21
user_000292,control,7.6
user_000293,control,24.04
user_000294,control,16.21
user_000295,control,7.0
user_000296,control,25.02
user_000297,control,15.58
user_000298,control,23.34
user_000299,control,20.16
user_000300,control,6.28
user_000301,control,7.78
user_000302,control,22.15
user_000303,control,19.85
user_000304,control,11.98
user_000305,control,13.38
user_000306,control,33.86
user_000307,control,7.59
user_000308,control,18.87
user_000309,control,10.36
user_000310,control,10.24
user_000311,control,29.34
user_000312,control,23.58
user_000313,control,23.35
user_000314,control,34.62
user_000315,control,12.39
user_000316,control,21.02
user_000317,control,9.5
user_000318,control,15.79
user_000319,control,10.98
user_000320,control,13.17
user_000321,control,19.61
user_000322,control,6.33
user_000323,control,64.97
user_000324,control,5.45
user_000325,control,4.61
user_000326,control,30.77
user_000327,control,22.95
user_000328,control,20.07
user_000329,control,20.14
user_000330,control,12.06
user_000331,control,5.94
user_000332,control,12.94
user_000333,control,7.09
user_000334,control,26.58
user_000335,control,10.83
user_000336,control,6.29
user_000337,control,9.42
user_000338,control,16.95
user_000339,control,7.76
user_000340,control,6.31
user_000341,control,14.8
user_000342,control,14.82
user_000343,control,8.12
user_000344,control,8.36
user_000345,control,14.67
user_000346,control,3.82
user_000347,control,3.95
user_000348,control,6.86
user_000349,control,10.27
user_000350,control,15.62
user_000351,control,39.66
user_000352,control,24.19
user_000353,control,10.72
user_000354,control,12.0
user_000355,control,5.46
user_000356,control,12.0
user_000357,control,9.67
user_000358,control,15.77
user_000359,control,6.29
user_000360,control,18.46
user_000361,control,41.52
user_000362,control,11.17
user_000363,control,16.8
user_000364,control,21.16
user_000365,control,8.84
user_000366,control,14.57
user_000367,control,12.31
user_000368,control,13.17
user_000369,control,6.56
user_000370,control,12.42
user_000371,control,18.15
user_000372,control,38.9
user_000373,control,26.24
user_000374,control,68.21
user_000375,control,6.59
user_000376,control,24.48
user_000377,control,14.11
user_000378,control,70.23
user_000379,control,6.38
user_000380,control,6.22
user_000381,control,7.54
user_000382,control,2.23
user_000383,control,8.0
user_000384,control,6.64
user_000385,control,13.74
user_000386,control,16.01
user_000387,control,54.65
user_000388,control,26.06
user_000389,control,7.68
user_000390,control,5.94
user_000391,control,18.06
user_000392,control,4.24
user_000393,control,52.73
user_000394,control,31.3
user_000395,control,8.37
user_000396,control,3.09
user_000397,control,35.98
user_000398,control,11.12
user_000399,control,32.79
user_000400,control,3.4
user_000401,control,7.54
user_000402,control,12.23
user_000403,control,12.65
user_000404,control,8.5
user_000405,control,20.05
user_000406,control,5.19
user_000407,control,10.87
user_000408,control,13.41
user_000409,control,18.39
user_000410,control,21.53
user_000411,control,4.95
user_000412,control,3.57
user_000413,control,33.86
user_000414,control,15.89
user_000415,control,6.69
user_000416,control,42.14
user_000417,control,13.36
user_000418,control,31.29
user_000419,control,12.86
user_000420,control,63.35
user_000421,control,49.61
user_000422,control,9.98
user_000423,control,26.5
user_000424,control,20.42
user_000425,control,36.41
user_000426,control,5.63
user_000427,control,21.09
user_000428,control,28.41
user_000429,control,2.98
user_000430,control,4.73
user_000431,control,2.38
user_000432,control,9.82
user_000433,control,21.63
user_000434,control,40.52
user_000435,control,12.93
user_000436,control,44.83
user_000437,control,4.04
user_000438,control,3.12
user_000439,control,11.65
user_000440,control,16.56
user_000441,control,11.87
user_000442,control,2.33
user_000443,control,11.34
user_000444,control,4.29
user_000445,control,20.82
user_000446,control,16.33
user_000447,control,5.74
user_000448,control,8.08
user_000449,control,5.22
user_000450,control,11.59
user_000451,control,26.16
user_000452,control,5.54
user_000453,control,18.23
user_000454,control,7.97
user_000455,control,6.46
user_000456,control,11.18
user_000457,control,5.32
user_000458,control,7.82
user_000459,control,4.67
user_000460,control,58.66
user_000461,control,12.53
user_000462,control,6.96
user_000463,control,14.46
user_000464,control,11.14
user_000465,control,10.21
user_000466,control,19.91
user_000467,control,22.33
user_000468,control,7.97
user_000469,control,7.69
user_000470,control,9.78
user_000471,control,1.93
user_000472,control,3.62
user_000473,control,36.36
user_000474,control,45.42
user_000475,control,9.98
user_000476,control,19.32
user_000477,control,15.63
user_000478,control,143.04
user_000479,control,29.83
user_000480,control,11.0
user_000481,control,5.67
user_000482,control,3.37
user_000483,control,14.34
user_000484,control,6.65
user_000485,control,3.9
user_000486,control,7.26
user_000487,control,5.13
user_000488,control,46.98
user_000489,control,24.66
user_000490,control,12.11
user_000491,control,39.8
user_000492,control,12.96
user_000493,control,6.12
user_000494,control,41.2
user_000495,control,18.75
user_000496,control,5.31
user_000497,control,10.46
user_000498,control,6.05
user_000499,control,4.03
user_000500,control,25.56
user_000501,control,56.12
user_000502,control,3.98
user_000503,control,19.11
user_000504,control,7.24
user_000505,control,8.25
user_000506,control,7.58
user_000507,control,6.1
user_000508,control,12.66
user_000509,control,6.27
user_000510,control,15.13
user_000511,control,11.7
user_000512,control,10.06
user_000513,control,5.89
user_000514,control,7.68
user_000515,control,22.29
user_000516,control,18.19
user_000517,control,5.57
user_000518,control,13.19
user_000519,control,22.22
user_000520,control,3.2
user_000521,control,18.82
user_000522,control,7.17
user_000523,control,19.23
user_000524,control,6.62
user_000525,control,2.88
user_000526,control,3.31
user_000527,control,12.66
user_000528,control,15.0
user_000529,control,5.91
user_000530,control,20.31
user_000531,control,3.22
user_000532,control,11.56
user_000533,control,4.62
user_000534,control,7.23
user_000535,control,12.65
user_000536,control,6.12
user_000537,control,8.96
user_000538,control,27.25
user_000539,control,7.68
user_000540,control,23.77
user_000541,control,4.93
user_000542,control,18.61
user_000543,control,38.6
user_000544,control,1.69
user_000545,control,6.44
user_000546,control,19.33
user_000547,control,10.36
user_000548,control,16.39
user_000549,control,7.51
user_000550,control,13.06
user_000551,control,10.76
user_000552,control,31.01
user_000553,control,14.93
user_000554,control,15.96
user_000555,control,8.76
user_000556,control,8.25
user_000557,control,8.62
user_000558,control,16.7
user_000559,control,8.7
user_000560,control,15.36
user_000561,control,64.09
user_000562,control,24.46
user_000563,control,9.39
user_000564,control,31.85
user_000565,control,8.79
user_000566,control,2.39
user_000567,control,5.44
user_000568,control,2.73
user_000569,control,9.2
user_000570,control,12.36
user_000571,control,46.58
user_000572,control,15.82
user_000573,control,10.22
user_000574,control,23.65
user_000575,control,2.08
user_000576,control,14.71
user_000577,control,22.57
user_000578,control,3.73
user_000579,control,30.42
user_000580,control,15.97
user_000581,control,8.74
user_000582,control,20.21
user_000583,control,74.93
user_000584,control,14.09
user_000585,control,14.86
user_000586,control,8.44
user_000587,control,6.17
user_000588,control,23.67
user_000589,control,6.14
user_000590,control,12.9
user_000591,control,8.31
user_000592,control,17.87
user_000593,control,15.91
user_000594,control,27.94
user_000595,control,8.1
user_000596,control,9.82
user_000597,control,5.57
user_000598,control,8.54
user_000599,control,16.47
user_000600,control,22.32
user_000601,control,5.83
user_000602,control,24.43
user_000603,control,36.04
user_000604,control,16.96
user_000605,control,54.68
user_000606,control,6.56
user_000607,control,4.5
user_000608,control,2.94
user_000609,control,40.32
user_000610,control,20.56
user_000611,control,11.65
user_000612,control,15.24
user_000613,control,4.95
user_000614,control,86.19
user_000615,control,13.51
user_000616,control,13.3
user_000617,control,21.77
user_000618,control,17.9
user_000619,control,14.57
user_000620,control,6.47
user_000621,control,17.76
user_000622,control,54.91
user_000623,control,35.74
user_000624,control,43.58
user_000625,control,8.09
user_000626,control,5.52
user_000627,control,11.02
user_000628,control,12.74
user_000629,control,29.23
user_000630,control,3.15
user_000631,control,41.41
user_000632,control,10.74
user_000633,control,8.66
user_000634,control,5.42
user_000635,control,3.24
user_000636,control,23.54
user_000637,control,12.92
user_000638,control,4.34
user_000639,control,4.32
user_000640,control,9.31
user_000641,control,46.3
user_000642,control,9.9
user_000643,control,3.66
user_000644,control,10.01
user_000645,control,9.79
user_000646,control,1.41
user_000647,control,11.66
user_000648,control,10.13
user_000649,control,21.26
user_000650,control,53.47
user_000651,control,30.0
user_000652,control,9.82
user_000653,control,5.03
user_000654,control,95.46
user_000655,control,12.77
user_000656,control,12.32
user_000657,control,11.95
user_000658,control,14.27
user_000659,control,10.85
user_000660,control,7.7
user_000661,control,7.87
user_000662,control,11.87
user_000663,control,7.89
user_000664,control,6.89
user_000665,control,13.27
user_000666,control,9.93
user_000667,control,40.58
user_000668,control,1.46
user_000669,control,29.17
user_000670,control,33.01
user_000671,control,2.32
user_000672,control,9.26
user_000673,control,9.05
user_000674,control,3.95
user_000675,control,6.54
user_000676,control,5.01
user_000677,control,49.49
user_000678,control,25.75
user_000679,control,33.69
user_000680,control,21.7
user_000681,control,4.94
user_000682,control,8.01
user_000683,control,18.02
user_000684,control,4.58
user_000685,control,21.55
user_000686,control,10.05
user_000687,control,9.03
user_000688,control,21.52
user_000689,control,17.38
user_000690,control,9.13
user_000691,control,30.8
user_000692,control,5.13
user_000693,control,19.94
user_000694,control,19.58
user_000695,control,9.51
user_000696,control,15.81
user_000697,control,4.48
user_000698,control,25.51
user_000699,control,10.51
user_000700,control,8.02
user_000701,control,28.2
user_000702,control,6.93
user_000703,control,3.95
user_000704,control,3.51
user_000705,control,19.78
user_000706,control,4.37
user_000707,control,49.59
user_000708,control,2.3
user_000709,control,47.33
user_000710,control,14.42
user_000711,control,11.28
user_000712,control,7.88
user_000713,control,16.77
user_000714,control,11.82
user_000715,control,29.45
user_000716,control,13.35
user_000717,control,13.74
user_000718,control,9.11
user_000719,control,11.64
user_000720,control,15.58
user_000721,control,3.1
user_000722,control,4.14
user_000723,control,22.08
user_000724,control,13.97
user_000725,control,10.52
user_000726,control,12.36
user_000727,control,16.09
user_000728,control,7.91
user_000729,control,6.54
user_000730,control,14.25
user_000731,control,5.57
user_000732,control,16.89
user_000733,control,3.12
user_000734,control,27.75
user_000735,control,17.78
user_000736,control,14.95
user_000737,control,26.74
user_000738,control,46.17
user_000739,control,27.43
user_000740,control,2.79
user_000741,control,4.38
user_000742,control,7.39
user_000743,control,12.44
user_000744,control,18.43
user_000745,control,6.82
user_000746,control,14.15
user_000747,control,6.66
user_000748,control,7.47
user_000749,control,3.95
user_000750,control,5.82
user_000751,control,4.13
user_000752,control,5.58
user_000753,control,28.3
user_000754,control,5.7
user_000755,control,100.07
user_000756,control,18.08
user_000757,control,14.12
user_000758,control,6.13
user_000759,control,21.33
user_000760,control,7.69
user_000761,control,13.43
user_000762,control,94.45
user_000763,control,11.28
user_000764,control,30.55
user_000765,control,6.94
user_000766,control,11.85
user_000767,control,50.23
user_000768,control,7.38
user_000769,control,51.93
user_000770,control,21.46
user_000771,control,7.77
user_000772,control,20.2
user_000773,control,26.52
user_000774,control,20.03
user_000775,control,3.47
user_000776,control,6.81
user_000777,control,9.99
user_000778,control,11.48
user_000779,control,20.02
user_000780,control,14.04
user_000781,control,4.19
user_000782,control,16.51
user_000783,control,19.86
user_000784,control,19.06
user_000785,control,28.92
user_000786,control,23.74
user_000787,control,17.59
user_000788,control,11.52
user_000789,control,3.23
user_000790,control,17.18
user_000791,control,14.38
user_000792,control,15.14
user_000793,control,4.39
user_000794,control,5.13
user_000795,control,28.29
user_000796,control,11.8
user_000797,control,21.01
user_000798,control,12.46
user_000799,control,12.48
user_000800,control,25.81
user_000801,control,8.06
user_000802,control,13.16
user_000803,control,8.42
user_000804,control,8.61
user_000805,control,9.51
user_000806,control,14.55
user_000807,control,8.31
user_000808,control,33.27
user_000809,control,5.96
user_000810,control,10.49
user_000811,control,8.57
user_000812,control,38.77
user_000813,control,14.26
user_000814,control,27.81
user_000815,control,3.71
user_000816,control,15.08
user_000817,control,24.82
user_000818,control,13.01
user_000819,control,28.57
user_000820,control,8.05
user_000821,control,37.62
user_000822,control,76.64
user_000823,control,9.11
user_000824,control,8.53
user_000825,control,38.97
user_000826,control,43.11
user_000827,control,8.02
user_000828,control,8.7
user_000829,control,9.72
user_000830,control,4.16
user_000831,control,5.84
user_000832,control,5.46
user_000833,control,6.59
user_000834,control,11.85
user_000835,control,14.69
user_000836,control,42.11
user_000837,control,5.48
user_000838,control,26.77
user_000839,control,10.27
user_000840,control,11.71
user_000841,control,20.9
user_000842,control,4.96
user_000843,control,16.54
user_000844,control,13.92
user_000845,control,18.06
user_000846,control,15.35
user_000847,control,86.86
user_000848,control,7.31
user_000849,control,7.97
user_000850,control,7.4
user_000851,control,7.81
user_000852,control,7.32
user_000853,control,31.54
user_000854,control,37.96
user_000855,control,7.72
user_000856,control,6.26
user_000857,control,17.76
user_000858,control,7.83
user_000859,control,20.21
user_000860,control,14.33
user_000861,control,3.62
user_000862,control,42.01
user_000863,control,51.25
user_000864,control,7.46
user_000865,control,8.93
user_000866,control,15.31
user_000867,control,15.92
user_000868,control,20.63
user_000869,control,60.83
user_000870,control,10.57
user_000871,control,6.43
user_000872,control,4.04
user_000873,control,6.79
user_000874,control,11.86
user_000875,control,51.2
user_000876,control,8.05
user_000877,control,14.57
user_000878,control,12.02
user_000879,control,31.52
user_000880,control,91.98
user_000881,control,7.97
user_000882,control,8.24
user_000883,control,28.09
user_000884,control,21.02
user_000885,control,53.38
user_000886,control,19.44
user_000887,control,9.14
user_000888,control,19.54
user_000889,control,29.58
user_000890,control,23.49
user_000891,control,18.28
user_000892,control,28.6
user_000893,control,31.04
user_000894,control,36.81
user_000895,control,20.47
user_000896,control,10.66
user_000897,control,13.7
user_000898,control,31.98
user_000899,control,6.34
user_000900,control,16.36
user_000901,control,8.89
user_000902,control,12.47
user_000903,control,33.88
user_000904,control,14.19
user_000905,control,12.64
user_000906,control,4.1
user_000907,control,22.13
user_000908,control,20.42
user_000909,control,68.76
user_000910,control,9.52
user_000911,control,14.52
user_000912,control,14.87
user_000913,control,43.03
user_000914,control,11.29
user_000915,control,15.23
user_000916,control,19.81
user_000917,control,14.14
user_000918,control,8.52
user_000919,control,14.23
user_000920,control,28.76
user_000921,control,5.36
user_000922,control,13.55
user_000923,control,6.96
user_000924,control,31.69
user_000925,control,3.6
user_000926,control,7.79
user_000927,control,16.47
user_000928,control,42.62
user_000929,control,11.56
user_000930,control,7.81
user_000931,control,54.87
user_000932,control,3.83
user_000933,control,2.1
user_000934,control,17.32
user_000935,control,8.15
user_000936,control,5.38
user_000937,control,21.47
user_000938,control,14.81
user_000939,control,7.76
user_000940,control,4.37
user_000941,control,24.48
user_000942,control,20.49
user_000943,control,11.25
user_000944,control,53.37
user_000945,control,5.18
user_000946,control,3.6
user_000947,control,7.0
user_000948,control,11.75
user_000949,control,14.8
user_000950,control,10.04
user_000951,control,16.15
user_000952,control,4.48
user_000953,control,38.67
user_000954,control,11.41
user_000955,control,29.78
user_000956,control,16.03
user_000957,control,17.56
user_000958,control,19.22
user_000959,control,17.43
user_000960,control,20.37
user_000961,control,35.28
user_000962,control,14.26
user_000963,control,21.48
user_000964,control,11.34
user_000965,control,38.56
user_000966,control,7.09
user_000967,control,51.46
user_000968,control,11.8
user_000969,control,3.88
user_000970,control,13.5
user_000971,control,7.07
user_000972,control,23.87
user_000973,control,7.23
user_000974,control,8.53
user_000975,control,2.69
user_000976,control,8.48
user_000977,control,1.75
user_000978,control,3.43
user_000979,control,22.38
user_000980,control,22.84
user_000981,control,17.12
user_000982,control,5.62
user_000983,control,11.73
user_000984,control,12.15
user_000985,control,4.82
user_000986,control,40.56
user_000987,control,24.58
user_000988,control,10.21
user_000989,control,12.45
user_000990,control,14.39
user_000991,control,2.38
user_000992,control,10.0
user_000993,control,7.06
user_000994,control,5.47
user_000995,control,9.73
user_000996,control,51.32
user_000997,control,20.34
user_000998,control,7.71
user_000999,control,19.26
user_001000,control,37.32
user_001001,control,25.53
user_001002,control,12.78
user_001003,control,7.26
user_001004,control,21.3
user_001005,control,16.69
user_001006,control,24.93
user_001007,control,20.25
user_001008,control,28.21
user_001009,control,7.94
user_001010,control,34.95
user_001011,control,14.27
user_001012,control,64.08
user_001013,control,7.02
user_001014,control,48.85
user_001015,control,14.27
user_001016,control,7.23
user_001017,control,8.27
user_001018,control,9.43
user_001019,control,17.1
user_001020,control,18.51
user_001021,control,7.7
user_001022,control,11.95
user_001023,control,67.61
user_001024,control,48.52
user_001025,control,17.27
user_001026,control,12.56
user_001027,control,13.41
user_001028,control,19.9
user_001029,control,5.38
user_001030,control,9.92
user_001031,control,3.21
user_001032,control,16.77
user_001033,control,20.45
user_001034,control,8.28
user_001035,control,42.91
user_001036,control,4.57
user_001037,control,3.78
user_001038,control,14.58
user_001039,control,28.15
user_001040,control,46.86
user_001041,control,8.44
user_001042,control,28.87
user_001043,control,11.81
user_001044,control,10.61
user_001045,control,24.7
user_001046,control,20.53
user_001047,control,3.45
user_001048,control,39.7
user_001049,control,36.75
user_001050,control,7.39
user_001051,control,16.72
user_001052,control,18.09
user_001053,control,15.01
user_001054,control,7.84
user_001055,control,7.12
user_001056,control,11.94
user_001057,control,31.13
user_001058,control,18.82
user_001059,control,9.06
user_001060,control,22.59
user_001061,control,1.25
user_001062,control,30.54
user_001063,control,3.03
user_001064,control,9.12
user_001065,control,4.97
user_001066,control,4.32
user_001067,control,30.84
user_001068,control,8.38
user_001069,control,16.07
user_001070,control,11.73
user_001071,control,17.84
user_001072,control,12.95
user_001073,control,4.36
user_001074,control,27.03
user_001075,control,8.21
user_001076,control,3.51
user_001077,control,8.65
user_001078,control,40.47
user_001079,control,24.05
user_001080,control,9.22
user_001081,control,9.21
user_001082,control,9.42
user_001083,control,64.16
user_001084,control,16.54
user_001085,control,17.18
user_001086,control,27.78
user_001087,control,14.75
user_001088,control,9.9
user_001089,control,10.41
user_001090,control,11.5
user_001091,control,11.83
user_001092,control,21.8
user_001093,control,12.7
user_001094,control,21.89
user_001095,control,11.42
user_001096,control,12.97
user_001097,control,2.46
user_001098,control,25.36
user_001099,control,16.07
user_001100,control,27.07
user_001101,control,1.2
user_001102,control,64.76
user_001103,control,10.9
user_001104,control,29.56
user_001105,control,5.3
user_001106,control,19.89
user_001107,control,5.24
user_001108,control,7.4
user_001109,control,56.33
user_001110,control,10.46
user_001111,control,14.5
user_001112,control,24.44
user_001113,control,18.11
user_001114,control,13.74
user_001115,control,16.31
user_001116,control,83.32
user_001117,control,11.63
user_001118,control,14.31
user_001119,control,28.23
user_001120,control,29.5
user_001121,control,31.49
user_001122,control,20.31
user_001123,control,4.88
user_001124,control,45.0
user_001125,control,4.87
user_001126,control,15.52
user_001127,control,6.66
user_001128,control,11.57
user_001129,control,15.85
user_001130,control,15.75
user_001131,control,17.07
user_001132,control,44.3
user_001133,control,17.51
user_001134,control,10.02
user_001135,control,26.34
user_001136,control,31.55
user_001137,control,4.56
user_001138,control,19.65
user_001139,control,21.35
user_001140,control,9.6
user_001141,control,36.62
user_001142,control,10.8
user_001143,control,13.47
user_001144,control,10.61
user_001145,control,12.34
user_001146,control,5.07
user_001147,control,3.85
user_001148,control,43.62
user_001149,control,6.19
user_001150,control,5.51
user_001151,control,2.18
user_001152,control,7.31
user_001153,control,4.23
user_001154,control,45.31
user_001155,control,27.33
user_001156,control,7.03
user_001157,control,73.84
user_001158,control,26.72
user_001159,control,9.39
user_001160,control,1.65
user_001161,control,76.15
user_001162,control,4.01
user_001163,control,3.27
user_001164,control,27.61
user_001165,control,85.78
user_001166,control,36.87
user_001167,control,19.13
user_001168,control,19.61
user_001169,control,24.11
user_001170,control,22.36
user_001171,control,15.26
user_001172,control,13.24
user_001173,control,11.59
user_001174,control,6.66
user_001175,control,9.73
user_001176,control,3.14
user_001177,control,11.26
user_001178,control,5.52
user_001179,control,5.04
user_001180,control,14.07
user_001181,control,37.1
user_001182,control,25.4
user_001183,control,3.47
user_001184,control,5.52
user_001185,control,25.86
user_001186,control,5.55
user_001187,control,10.18
user_001188,control,18.92
user_001189,control,5.61
user_001190,control,13.25
user_001191,control,4.19
user_001192,control,7.53
user_001193,control,15.73
user_001194,control,3.41
user_001195,control,17.33
user_001196,control,11.99
user_001197,control,18.95
user_001198,control,14.57
user_001199,control,36.28
user_001200,control,13.47
user_001201,control,8.64
user_001202,control,13.43
user_001203,control,18.81
user_001204,control,12.67
user_001205,control,12.58
user_001206,control,6.95
user_001207,control,7.17
user_001208,control,3.97
user_001209,control,49.39
user_001210,control,4.5
user_001211,control,7.0
user_001212,control,6.86
user_001213,control,24.93
user_001214,control,9.62
user_001215,control,33.06
user_001216,control,7.11
user_001217,control,15.23
user_001218,control,6.24
user_001219,control,67.77
user_001220,control,4.71
user_001221,control,15.61
user_001222,control,20.23
user_001223,control,16.96
user_001224,control,10.5
user_001225,control,10.98
user_001226,control,12.62
user_001227,control,10.83
user_001228,control,26.34
user_001229,control,71.41
user_001230,control,7.8
user_001231,control,4.07
user_001232,control,11.35
user_001233,control,95.94
user_001234,control,6.4
user_001235,control,45.21
user_001236,control,46.63
user_001237,control,7.82
user_001238,control,19.21
user_001239,control,44.82
user_001240,control,9.0
user_001241,control,10.35
user_001242,control,7.65
user_001243,control,5.41
user_001244,control,7.25
user_001245,control,4.58
user_001246,control,12.52
user_001247,control,6.58
user_001248,control,14.69
user_001249,control,3.51
user_001250,control,15.87
user_001251,control,23.73
user_001252,control,2.47
user_001253,control,16.43
user_001254,control,32.53
user_001255,control,4.63
user_001256,control,46.44
user_001257,control,17.03
user_001258,control,6.93
user_001259,control,11.65
user_001260,control,19.04
user_001261,control,12.95
user_001262,control,18.75
user_001263,control,5.83
user_001264,control,13.95
user_001265,control,3.93
user_001266,control,11.15
user_001267,control,5.91
user_001268,control,6.76
user_001269,control,32.75
