user_id,group,revenue
user_000094,control,47.34
user_000095,control,61.41
user_000096,control,54.58
user_000097,control,40.95
user_000098,control,45.2
user_000099,control,52.98
user_000100,control,42.75
user_000101,control,44.2
user_000102,control,60.76
user_000103,control,45.09
user_000104,control,57.64
user_000105,control,60.04
user_000106,control,44.13
user_000107,control,42.88
user_000108,control,47.79
user_000109,control,41.29
user_000110,control,50.97
user_000111,control,48.35
user_000112,control,52.88
user_000113,control,61.18
user_000114,control,56.54
user_000115,control,53.91
user_000116,control,34.27
user_000117,control,53.55
user_000118,control,63.78
user_000119,control,25.92
user_000120,control,55.52
user_000121,control,48.73
user_000122,control,43.2
user_000123,control,56.41
user_000124,control,63.68
user_000125,control,56.2
user_000126,control,47.03
user_000127,control,42.45
user_000128,control,51.16
user_000129,control,56.99
user_000130,control,46.9
user_000131,control,47.68
user_000132,control,72.58
user_000133,control,58.63
user_000134,control,59.2
user_000135,control,38.32
user_000136,control,44.34
user_000137,control,50.6
user_000138,control,41.99
user_000139,control,62.8
user_000140,control,61.28
user_000141,control,45.73
user_000142,control,64.27
user_000143,control,49.97
user_000144,control,70.72
user_000145,control,51.16
user_000146,control,54.61
user_000147,control,61.2
user_000148,control,60.22
user_000149,control,54.09
user_000150,control,48.87
user_000151,control,54.11
user_000152,control,43.47
user_000153,control,51.22
user_000154,control,41.13
user_000155,control,35.75
user_000156,control,50.4
user_000157,control,60.1
user_000158,control,57.41
user_000159,control,49.34
user_000160,control,63.98
user_000161,control,45.45
user_000162,control,34.66
user_000163,control,32.54
user_000164,control,40.55
user_000165,control,56.53
user_000166,control,44.92
user_000167,control,53.69
user_000168,control,63.17
user_000169,control,41.2
user_000170,control,53.83
user_000171,control,54.31
user_000172,control,43.11
user_000173,control,60.83
user_000174,control,47.7
user_000175,control,46.93
user_000176,control,66.89
user_000177,control,54.18
user_000178,control,57.4
user_000179,control,60.84
user_000180,control,44.8
user_000181,control,60.0
user_000182,control,45.98
user_000183,control,45.64
user_000184,control,47.82
user_000185,control,45.02
user_000186,control,56.58
user_000187,control,52.14
user_000188,control,46.07
user_000189,control,55.4
user_000190,control,47.8
user_000191,control,47.38
user_000192,control,50.39
user_000193,control,53.71
user_000194,control,53.12
user_000195,control,47.09
user_000196,control,56.78
user_000197,control,48.22
user_000198,control,44.76
user_000199,control,38.26
user_000200,control,57.87
user_000201,control,50.1
user_000202,control,51.69
user_000203,control,58.37
user_000204,control,46.18
user_000205,control,39.0
user_000206,control,50.56
user_000207,control,52.46
user_000208,control,47.9
user_000209,control,61.79
user_000210,control,30.11
user_000211,control,58.96
user_000212,control,56.33
user_000213,control,53.65
user_000214,control,23.31
user_000215,control,60.27
user_000216,control,41.79
user_000217,control,45.94
user_000218,control,48.64
user_000219,control,53.26
user_000220,control,55.12
user_000221,control,57.14
user_000222,control,56.53
user_000223,control,52.02
user_000224,control,53.33
user_000225,control,41.27
user_000226,control,43.99
user_000227,control,57.16
user_000228,control,56.7
user_000229,control,55.79
user_000230,control,45.88
user_000231,control,57.28
user_000232,control,40.71
user_000233,control,58.62
user_000234,control,47.91
user_000235,control,63.47
user_000236,control,37.83
user_000237,control,64.11
user_000238,control,47.11
user_000239,control,46.96
user_000240,control,51.56
user_000241,control,44.42
user_000242,control,49.42
user_000243,control,44.1
user_000244,control,44.39
user_000245,control,53.9
user_000246,control,42.79
user_000247,control,43.85
user_000248,control,39.02
user_000249,control,45.97
user_000250,control,60.49
user_000251,control,43.23
user_000252,control,44.15
user_000253,control,51.55
user_000254,control,47.03
user_000255,control,67.83
user_000256,control,48.7
user_000257,control,52.68
user_000258,control,57.55
user_000259,control,57.4
user_000260,control,51.87
user_000261,control,48.71
user_000262,control,66.19
user_000263,control,49.2
user_000264,control,46.47
user_000265,control,44.83
user_000266,control,36.19
user_000267,control,56.57
user_000268,control,31.22
user_000269,control,49.95
user_000270,control,48.36
user_000271,control,67.92
user_000272,control,35.35
user_000273,control,42.79
user_000274,control,48.91
user_000275,control,48.42
user_000276,control,45.6
user_000277,control,49.35
user_000278,control,39.92
user_000279,control,52.86
user_000280,control,31.43
user_000281,control,49.79
user_000282,control,45.2
user_000283,control,58.13
user_000284,control,64.04
user_000285,control,47.35
user_000286,control,61.13
user_000287,control,47.47
user_000288,control,42.27
user_000289,control,63.97
user_000290,control,54.17
user_000291,control,50.04
user_000292,control,55.5
user_000293,control,52.19
user_000294,control,49.45
user_000295,control,39.39
user_000296,control,47.84
user_000297,control,54.99
user_000298,control,49.02
user_000299,control,57.22
user_000300,control,53.07
user_000301,control,42.97
user_000302,control,39.45
user_000303,control,48.74
user_000304,control,45.81
user_000305,control,52.69
user_000306,control,44.25
user_000307,control,45.08
user_000308,control,58.42
user_000309,control,51.19
user_000310,control,44.38
user_000311,control,50.14
user_000312,control,61.03
user_000313,control,52.35
user_000314,control,54.74
user_000315,control,43.98
user_000316,control,58.21
user_000317,control,68.54
user_000318,control,43.67
user_000319,control,40.54
user_000320,control,51.4
user_000321,control,57.0
user_000322,control,49.27
user_000323,control,41.57
user_000324,control,49.13
user_000325,control,54.78
user_000326,control,46.74
user_000327,control,54.86
user_000328,control,59.32
user_000329,control,51.92
user_000330,control,49.78
user_000331,control,56.63
user_000332,control,43.15
user_000333,control,42.36
user_000334,control,47.87
user_000335,control,46.06
user_000336,control,43.57
user_000337,control,64.64
user_000338,control,67.38
user_000339,control,47.17
user_000340,control,50.73
user_000341,control,48.5
user_000342,control,58.86
user_000343,control,60.45
user_000344,control,35.78
user_000345,control,53.81
user_000346,control,39.55
user_000347,control,64.07
user_000348,control,53.52
user_000349,control,43.41
user_000350,control,48.07
user_000351,control,47.69
user_000352,control,54.2
user_000353,control,58.34
user_000354,control,40.81
user_000355,control,64.71
user_000356,control,62.85
user_000357,control,43.0
user_000358,control,50.58
user_000359,control,63.69
user_000360,control,59.86
user_000361,control,47.31
user_000362,control,56.51
user_000363,control,73.98
user_000364,control,50.84
user_000365,control,44.94
user_000366,control,51.38
user_000367,control,51.97
user_000368,control,45.8
user_000369,control,53.53
user_000370,control,39.96
user_000371,control,44.68
user_000372,control,56.07
user_000373,control,35.96
user_000374,control,57.23
user_000375,control,33.9
user_000376,control,36.15
user_000377,control,46.01
user_000378,control,52.29
user_000379,control,60.6
user_000380,control,50.46
user_000381,control,48.03
user_000382,control,54.64
user_000383,control,43.03
user_000384,control,51.12
user_000385,control,40.4
user_000386,control,50.66
user_000387,control,48.96
user_000388,control,43.57
user_000389,control,51.32
user_000390,control,51.27
user_000391,control,59.4
user_000392,control,37.15
user_000393,control,49.39
user_000394,control,43.92
user_000395,control,56.96
user_000396,control,56.03
user_000397,control,54.06
user_000398,control,44.37
user_000399,control,57.08
user_000400,control,37.76
user_000401,control,36.12
user_000402,control,39.79
user_000403,control,49.73
user_000404,control,55.4
user_000405,control,26.19
user_000406,control,60.58
user_000407,control,51.05
user_000408,control,37.46
user_000409,control,50.81
user_000410,control,58.74
user_000411,control,54.8
user_000412,control,58.79
user_000413,control,39.07
user_000414,control,46.69
user_000415,control,42.6
user_000416,control,63.74
user_000417,control,55.11
user_000418,control,72.78
user_000419,control,46.26
user_000420,control,44.2
user_000421,control,48.86
user_000422,control,61.03
user_000423,control,47.07
user_000424,control,51.0
user_000425,control,50.77
user_000426,control,50.32
user_000427,control,44.78
user_000428,control,48.9
user_000429,control,48.56
user_000430,control,49.94
user_000431,control,57.55
user_000432,control,64.09
user_000433,control,43.28
user_000434,control,46.86
user_000435,control,43.4
user_000436,control,51.5
user_000437,control,45.69
user_000438,control,51.92
user_000439,control,58.83
user_000440,control,29.79
user_000441,control,53.93
user_000442,control,46.32
user_000443,control,53.68
user_000444,control,42.83
user_000445,control,59.57
user_000446,control,57.31
user_000447,control,54.55
user_000448,control,56.35
user_000449,control,44.04
user_000450,control,45.04
user_000451,control,56.02
user_000452,control,43.86
user_000453,control,61.57
user_000454,control,47.41
user_000455,control,54.02
user_000456,control,66.79
user_000457,control,44.35
user_000458,control,50.55
user_000459,control,58.43
user_000460,control,57.61
user_000461,control,47.38
user_000462,control,45.87
user_000463,control,48.13
user_000464,control,61.58
user_000465,control,47.77
user_000466,control,50.62
user_000467,control,46.59
user_000468,control,55.64
user_000469,control,51.24
user_000470,control,41.97
user_000471,control,42.25
user_000472,control,34.01
user_000473,control,43.35
user_000474,control,56.35
user_000475,control,60.59
user_000476,control,55.48
user_000477,control,54.44
user_000478,control,48.99
user_000479,control,56.2
user_000480,control,52.29
user_000481,control,64.44
user_000482,control,49.21
user_000483,control,60.74
user_000484,control,56.99
user_000485,control,55.88
user_000486,control,33.91
user_000487,control,57.43
user_000488,control,48.98
user_000489,control,46.45
user_000490,control,38.14
user_000491,control,49.96
user_000492,control,50.27
user_000493,control,39.58
user_000494,control,38.21
user_000495,control,53.89
user_000496,control,56.97
user_000497,control,51.52
user_000498,control,59.21
user_000499,control,49.31
user_000500,control,49.57
user_000501,control,42.66
user_000502,control,37.52
user_000503,control,64.84
user_000504,control,59.05
user_000505,control,38.86
user_000506,control,51.25
user_000507,control,49.2
user_000508,control,47.81
user_000509,control,46.73
user_000510,control,53.05
user_000511,control,56.55
user_000512,control,53.22
user_000513,control,49.04
user_000514,control,48.74
user_000515,control,57.49
user_000516,control,53.71
user_000517,control,50.58
user_000518,control,49.71
user_000519,control,52.76
user_000520,control,46.25
user_000521,control,56.57
user_000522,control,41.39
user_000523,control,46.71
user_000524,control,54.89
user_000525,control,40.94
user_000526,control,37.42
user_000527,control,50.5
user_000528,control,36.43
user_000529,control,39.61
user_000530,control,56.05
user_000531,control,48.36
user_000532,control,60.28
user_000533,control,40.36
user_000534,control,49.25
user_000535,control,53.2
user_000536,control,40.64
user_000537,control,58.25
user_000538,control,54.09
user_000539,control,37.13
user_000540,control,49.7
user_000541,control,53.09
user_000542,control,45.28
user_000543,control,38.16
user_000544,control,52.23
user_000545,control,67.69
user_000546,control,46.9
user_000547,control,62.55
user_000548,control,43.98
user_000549,control,51.72
user_000550,control,56.17
user_000551,control,49.93
user_000552,control,47.62
user_000553,control,55.81
user_000554,control,65.13
user_000555,control,52.4
user_000556,control,45.87
user_000557,control,48.48
user_000558,control,70.16
user_000559,control,51.08
user_000560,control,45.24
user_000561,control,40.84
user_000562,control,35.39
user_000563,control,52.91
user_000564,control,55.24
user_000565,control,46.83
user_000566,control,49.88
user_000567,control,40.64
user_000568,control,51.06
user_000569,control,53.85
user_000570,control,45.72
user_000571,control,63.52
user_000572,control,43.3
user_000573,control,52.27
user_000574,control,56.79
user_000575,control,49.38
user_000576,control,48.49
user_000577,control,38.57
user_000578,control,60.86
user_000579,control,48.64
user_000580,control,54.3
user_000581,control,55.38
user_000582,control,44.97
user_000583,control,48.42
user_000584,control,60.68
user_000585,control,41.06
user_000586,control,67.02
user_000587,control,44.04
user_000588,control,40.56
user_000589,control,51.06
user_000590,control,67.67
user_000591,control,34.71
user_000592,control,48.87
user_000593,control,53.81
user_000594,control,50.27
user_000595,control,53.06
user_000596,control,44.26
user_000597,control,45.2
user_000598,control,48.81
user_000599,control,40.96
user_000600,control,49.64
user_000601,control,46.89
user_000602,control,46.24
user_000603,control,52.56
user_000604,control,35.43
user_000605,control,48.17
user_000606,control,68.54
user_000607,control,41.31
user_000608,control,60.28
user_000609,control,50.44
user_000610,control,45.18
user_000611,control,39.43
user_000612,control,51.12
user_000613,control,61.63
user_000614,control,46.89
user_000615,control,49.35
user_000616,control,58.08
user_000617,control,52.73
user_000618,control,37.42
user_000619,control,50.79
user_000620,control,62.1
user_000621,control,49.7
user_000622,control,28.07
user_000623,control,53.11
user_000624,control,48.41
user_000625,control,35.37
user_000626,control,36.57
user_000627,control,57.8
user_000628,control,44.14
user_000629,control,42.74
user_000630,control,49.71
user_000631,control,44.85
user_000632,control,50.8
user_000633,control,48.38
user_000634,control,40.4
user_000635,control,45.91
user_000636,control,53.54
user_000637,control,50.34
user_000638,control,49.34
user_000639,control,65.5
user_000640,control,55.85
user_000641,control,56.82
user_000642,control,48.67
user_000643,control,51.76
user_000644,control,46.55
user_000645,control,56.22
user_000646,control,49.12
user_000647,control,51.78
user_000648,control,51.28
user_000649,control,49.85
user_000650,control,73.51
user_000651,control,44.67
user_000652,control,44.59
user_000653,control,55.55
user_000654,control,45.24
user_000655,control,47.67
user_000656,control,41.31
user_000657,control,53.93
user_000658,control,54.03
user_000659,control,47.48
user_000660,control,55.72
user_000661,control,35.13
user_000662,control,44.35
user_000663,control,48.64
user_000664,control,40.62
user_000665,control,36.01
user_000666,control,47.54
user_000667,control,55.55
user_000668,control,60.26
user_000669,control,45.62
user_000670,control,55.87
user_000671,control,55.09
user_000672,control,59.75
user_000673,control,47.2
user_000674,control,35.61
user_000675,control,50.56
user_000676,control,41.89
user_000677,control,44.21
user_000678,control,47.59
user_000679,control,47.29
user_000680,control,51.13
user_000681,control,55.63
user_000682,control,47.06
user_000683,control,53.17
user_000684,control,50.12
user_000685,control,57.48
user_000686,control,48.49
user_000687,control,49.37
user_000688,control,47.0
user_000689,control,48.7
user_000690,control,43.73
user_000691,control,42.94
user_000692,control,56.21
user_000693,control,41.33
user_000694,control,47.45
user_000695,control,58.12
user_000696,control,47.18
user_000697,control,56.63
user_000698,control,45.27
user_000699,control,41.59
user_000700,control,37.24
user_000701,control,60.5
user_000702,control,40.91
user_000703,control,55.98
user_000704,control,42.0
user_000705,control,60.54
user_000706,control,67.65
user_000707,control,36.51
user_000708,control,41.32
user_000709,control,56.19
user_000710,control,54.1
user_000711,control,56.22
user_000712,control,45.41
user_000713,control,65.9
user_000714,control,50.94
user_000715,control,40.26
user_000716,control,47.97
user_000717,control,40.37
user_000718,control,62.73
user_000719,control,44.72
user_000720,control,53.94
user_000721,control,46.23
user_000722,control,45.08
user_000723,control,34.72
user_000724,control,54.79
user_000725,control,60.39
user_000726,control,42.67
user_000727,control,37.64
user_000728,control,56.43
user_000729,control,36.83
user_000730,control,59.76
user_000731,control,42.76
user_000732,control,41.17
user_000733,control,51.99
user_000734,control,41.69
user_000735,control,44.34
user_000736,control,52.83
user_000737,control,30.57
user_000738,control,63.14
user_000739,control,50.35
user_000740,control,39.66
user_000741,control,41.86
user_000742,control,57.93
user_000743,control,54.81
user_000744,control,61.09
user_000745,control,44.54
user_000746,control,52.37
user_000747,control,53.41
user_000748,control,55.56
user_000749,control,59.02
user_000750,control,44.26
user_000751,control,49.09
user_000752,control,45.12
user_000753,control,49.58
user_000754,control,55.59
user_000755,control,36.77
user_000756,control,58.87
user_000757,control,40.89
user_000758,control,47.54
user_000759,control,59.95
user_000760,control,52.62
user_000761,control,52.72
user_000762,control,40.55
user_000763,control,41.65
user_000764,control,57.53
user_000765,control,45.29
user_000766,control,46.04
user_000767,control,57.71
user_000768,control,41.6
user_000769,control,52.15
user_000770,control,50.34
user_000771,control,49.98
user_000772,control,45.85
user_000773,control,45.36
user_000774,control,41.37
user_000775,control,53.86
user_000776,control,44.65
user_000777,control,57.75
user_000778,control,48.2
user_000779,control,41.53
user_000780,control,48.1
user_000781,control,46.71
user_000782,control,58.07
user_000783,control,47.05
user_000784,control,47.79
user_000785,control,61.29
user_000786,control,54.07
user_000787,control,63.3
user_000788,control,60.07
user_000789,control,42.9
user_000790,control,57.92
user_000791,control,62.2
user_000792,control,62.26
user_000793,control,57.9
user_000794,control,57.74
user_000795,control,47.58
user_000796,control,43.3
user_000797,control,47.18
user_000798,control,36.68
user_000799,control,60.74
user_000800,control,47.73
user_000801,control,60.33
user_000802,control,40.15
user_000803,control,58.66
user_000804,control,46.04
user_000805,control,39.73
user_000806,control,63.02
user_000807,control,58.86
user_000808,control,51.69
user_000809,control,50.27
user_000810,control,53.52
user_000811,control,51.56
user_000812,control,43.66
user_000813,control,46.7
user_000814,control,65.69
user_000815,control,71.38
user_000816,control,62.5
user_000817,control,53.83
user_000818,control,47.3
user_000819,control,43.61
user_000820,control,44.14
user_000821,control,45.57
user_000822,control,67.21
user_000823,control,64.45
user_000824,control,55.97
user_000825,control,42.32
user_000826,control,57.14
user_000827,control,48.09
user_000828,control,32.78
user_000829,control,52.3
user_000830,control,43.26
user_000831,control,43.54
user_000832,control,48.0
user_000833,control,46.01
user_000834,control,49.73
user_000835,control,49.34
user_000836,control,34.99
user_000837,control,62.16
user_000838,control,42.13
user_000839,control,42.38
user_000840,control,47.37
user_000841,control,49.13
user_000842,control,61.67
user_000843,control,52.16
user_000844,control,54.53
user_000845,control,52.2
user_000846,control,51.85
user_000847,control,52.48
user_000848,control,34.54
user_000849,control,48.0
user_000850,control,59.3
user_000851,control,81.54
user_000852,control,40.37
user_000853,control,53.38
user_000854,control,45.43
user_000855,control,66.38
user_000856,control,39.17
user_000857,control,55.0
user_000858,control,38.74
user_000859,control,47.45
user_000860,control,49.73
user_000861,control,58.56
user_000862,control,41.38
user_000863,control,55.31
user_000864,control,50.15
user_000865,control,52.18
user_000866,control,57.67
user_000867,control,39.74
user_000868,control,56.48
user_000869,control,45.45
user_000870,control,58.77
user_000871,control,52.68
user_000872,control,48.32
user_000873,control,45.28
user_000874,control,56.59
user_000875,control,60.09
user_000876,control,45.74
user_000877,control,40.94
user_000878,control,55.55
user_000879,control,38.41
user_000880,control,39.56
user_000881,control,41.5
user_000882,control,46.68
user_000883,control,39.31
user_000884,control,34.49
user_000885,control,40.92
user_000886,control,55.14
user_000887,control,39.83
user_000888,control,47.28
user_000889,control,65.57
user_000890,control,49.61
user_000891,control,52.74
user_000892,control,42.43
user_000893,control,67.31
user_000894,control,45.67
user_000895,control,48.18
user_000896,control,60.54
user_000897,control,48.55
user_000898,control,50.38
user_000899,control,47.75
user_000900,control,47.8
user_000901,control,52.96
user_000902,control,54.42
user_000903,control,44.85
user_000904,control,43.87
user_000905,control,45.13
user_000906,control,38.79
user_000907,control,37.28
user_000908,control,52.38
user_000909,control,57.51
user_000910,control,56.97
user_000911,control,30.94
user_000912,control,48.04
user_000913,control,41.18
user_000914,control,51.15
user_000915,control,46.66
user_000916,control,54.74
user_000917,control,49.85
user_000918,control,34.83
user_000919,control,42.26
user_000920,control,50.05
user_000921,control,50.72
user_000922,control,38.75
user_000923,control,37.71
user_000924,control,50.45
user_000925,control,38.77
user_000926,control,36.65
user_000927,control,46.44
user_000928,control,46.09
user_000929,control,42.97
user_000930,control,44.37
user_000931,control,50.11
user_000932,control,44.24
user_000933,control,50.57
user_000934,control,46.96
user_000935,control,51.34
user_000936,control,57.03
user_000937,control,56.71
user_000938,control,60.31
user_000939,control,56.71
user_000940,control,51.91
user_000941,control,46.53
user_000942,control,46.9
user_000943,control,42.98
user_000944,control,50.04
user_000945,control,55.58
user_000946,control,44.19
user_000947,control,49.7
user_000948,control,44.58
user_000949,control,51.67
user_000950,control,45.6
user_000951,control,44.08
user_000952,control,44.56
user_000953,control,54.03
user_000954,control,49.23
user_000955,control,46.57
user_000956,control,52.09
user_000957,control,46.68
user_000958,control,59.01
user_000959,control,42.21
user_000960,control,48.5
user_000961,control,38.76
user_000962,control,47.23
user_000963,control,36.56
user_000964,control,55.97
user_000965,control,56.13
user_000966,control,56.27
user_000967,control,50.23
user_000968,control,42.96
user_000969,control,43.6
user_000970,control,62.24
user_000971,control,61.49
user_000972,control,50.98
user_000973,control,45.87
user_000974,control,60.95
user_000975,control,44.44
user_000976,control,51.83
user_000977,control,60.82
user_000978,control,43.31
user_000979,control,56.63
user_000980,control,54.16
user_000981,control,49.68
user_000982,control,42.05
user_000983,control,44.2
user_000984,control,52.32
user_000985,control,38.61
user_000986,control,51.05
user_000987,control,54.33
user_000988,control,57.88
user_000989,control,38.81
user_000990,control,60.53
user_000991,control,63.56
user_000992,control,53.28
user_000993,control,41.7
user_000994,control,47.38
user_000995,control,49.62
user_000996,control,52.16
user_000997,control,50.18
user_000998,control,52.25
user_000999,control,49.27
user_001000,control,52.12
user_001001,control,46.32
user_001002,control,47.29
user_001003,control,45.39
user_001004,control,65.34
user_001005,control,61.71
user_001006,control,54.44
user_001007,control,60.6
user_001008,control,56.39
user_001009,control,51.45
user_001010,control,37.96
user_001011,control,47.9
user_001012,control,47.32
user_001013,control,40.94
user_001014,control,38.11
user_001015,control,53.94
user_001016,control,52.6
user_001017,control,40.66
user_001018,control,44.03
user_001019,control,59.29
user_001020,control,42.98
user_001021,control,51.37
user_001022,control,48.48
user_001023,control,54.05
user_001024,control,43.15
user_001025,control,50.72
user_001026,control,51.35
user_001027,control,51.84
user_001028,control,50.63
user_001029,control,52.76
user_001030,control,67.53
user_001031,control,70.49
user_001032,control,44.89
user_001033,control,31.45
user_001034,control,54.76
user_001035,control,51.49
user_001036,control,58.49
user_001037,control,52.28
user_001038,control,50.47
user_001039,control,59.03
user_001040,control,60.15
user_001041,control,38.91
user_001042,control,43.47
user_001043,control,49.16
user_001044,control,50.79
user_001045,control,48.19
user_001046,control,53.47
user_001047,control,57.97
user_001048,control,63.78
user_001049,control,54.63
user_001050,control,43.18
user_001051,control,48.82
user_001052,control,49.4
user_001053,control,54.12
user_001054,control,53.11
user_001055,control,66.4
user_001056,control,46.31
user_001057,control,53.08
user_001058,control,68.84
user_001059,control,45.32
user_001060,control,51.16
user_001061,control,42.44
user_001062,control,50.66
user_001063,control,43.76
user_001064,control,58.37
user_001065,control,51.18
user_001066,control,42.52
user_001067,control,56.72
user_001068,control,51.44
user_001069,control,57.62
user_001070,control,40.82
user_001071,control,52.95
user_001072,control,56.19
user_001073,control,46.61
user_001074,control,39.93
user_001075,control,49.67
user_001076,control,59.82
user_001077,control,59.01
user_001078,control,46.57
user_001079,control,39.74
user_001080,control,46.55
user_001081,control,46.25
user_001082,control,53.57
user_001083,control,49.16
user_001084,control,43.97
user_001085,control,58.83
user_001086,control,51.12
user_001087,control,53.48
user_001088,control,36.2
user_001089,control,30.61
user_001090,control,38.5
user_001091,control,46.16
user_001092,control,54.61
user_001093,control,31.26
user_001094,control,62.74
user_001095,control,51.36
user_001096,control,60.88
user_001097,control,42.91
user_001098,control,54.03
user_001099,control,50.68
user_001100,control,56.54
user_001101,control,48.13
user_001102,control,53.79
user_001103,control,58.82
user_001104,control,44.79
user_001105,control,51.94
user_001106,control,34.9
user_001107,control,55.62
user_001108,control,65.64
user_001109,control,40.04
user_001110,control,49.27
user_001111,control,57.04
user_001112,control,50.25
user_001113,control,51.32
user_001114,control,46.87
user_001115,control,46.57
user_001116,control,49.31
user_001117,control,50.33
user_001118,control,40.55
user_001119,control,49.47
user_001120,control,62.55
user_001121,control,46.65
user_001122,control,40.1
user_001123,control,48.79
user_001124,control,44.28
user_001125,control,39.29
user_001126,control,51.11
user_001127,control,44.32
user_001128,control,45.0
user_001129,control,51.23
user_001130,control,37.73
user_001131,control,36.07
user_001132,control,55.37
user_001133,control,34.55
user_001134,control,42.19
user_001135,control,35.6
user_001136,control,46.11
user_001137,control,53.42
user_001138,control,50.9
user_001139,control,69.13
user_001140,control,58.7
user_001141,control,42.55
user_001142,control,40.42
user_001143,control,71.65
user_001144,control,58.5
user_001145,control,54.71
user_001146,control,50.6
user_001147,control,52.19
user_001148,control,38.14
user_001149,control,51.26
user_001150,control,50.57
user_001151,control,42.77
user_001152,control,45.69
user_001153,control,62.12
user_001154,control,49.0
user_001155,control,66.57
user_001156,control,36.07
user_001157,control,45.82
user_001158,control,37.62
user_001159,control,40.32
user_001160,control,43.37
user_001161,control,52.52
user_001162,control,52.13
user_001163,control,44.57
user_001164,control,32.18
user_001165,control,61.82
user_001166,control,47.71
user_001167,control,41.07
user_001168,control,52.2
user_001169,control,51.64
user_001170,control,47.42
user_001171,control,51.19
user_001172,control,40.76
user_001173,control,56.08
user_001174,control,42.03
user_001175,control,45.16
user_001176,control,55.19
user_001177,control,59.63
user_001178,control,62.69
user_001179,control,58.45
user_001180,control,47.41
user_001181,control,37.67
user_001182,control,61.24
user_001183,control,60.97
user_001184,control,44.62
user_001185,control,57.37
user_001186,control,47.34
user_001187,control,62.01
user_001188,control,45.88
user_001189,control,65.83
user_001190,control,56.29
user_001191,control,64.38
user_001192,control,46.29
user_001193,control,53.24
user_001194,control,42.25
user_001195,control,56.75
user_001196,control,57.19
user_001197,control,69.18
user_001198,control,53.86
user_001199,control,55.79
user_001200,control,46.23
user_001201,control,54.33
user_001202,control,46.96
user_001203,control,50.93
user_001204,control,51.4
user_001205,control,47.18
user_001206,control,50.5
user_001207,control,47.0
user_001208,control,46.96
user_001209,control,58.61
user_001210,control,51.4
user_001211,control,52.78
user_001212,control,38.34
user_001213,control,53.39
user_001214,control,54.24
user_001215,control,46.81
user_001216,control,66.68
user_001217,control,31.69
user_001218,control,56.27
user_001219,control,55.7
user_001220,control,54.33
user_001221,control,51.41
user_001222,control,54.41
user_001223,control,56.95
user_001224,control,44.19
user_001225,control,52.39
user_001226,control,48.53
user_001227,control,41.25
user_001228,control,55.74
user_001229,control,45.49
user_001230,control,38.02
user_001231,control,45.69
user_001232,control,43.61
user_001233,control,58.23
user_001234,control,51.23
user_001235,control,61.06
user_001236,control,44.67
user_001237,control,56.99
user_001238,control,72.72
user_001239,control,52.85
user_001240,control,56.89
user_001241,control,55.55
user_001242,control,38.62
user_001243,control,54.69
user_001244,control,52.45
user_001245,control,47.92
user_001246,control,42.93
user_001247,control,55.55
user_001248,control,42.22
user_001249,control,67.07
user_001250,control,50.91
user_001251,control,40.21
user_001252,control,45.89
user_001253,control,47.77
user_001254,control,69.3
user_001255,control,42.92
user_001256,control,49.07
user_001257,control,45.7
user_001258,control,53.99
user_001259,control,45.82
user_001260,control,40.89
user_001261,control,48.44
user_001262,control,47.6
user_001263,control,45.26
user_001264,control,45.69
user_001265,control,59.48
user_001266,control,47.44
user_001267,control,40.93
user_001268,control,46.3
user_001269,control,50.43
